reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
あいご	normal	3	愛護	名・ス他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいさつ	normal	4	×挨×拶	名・ス自	1	6	中央,国語研,新阪本,池原,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
あいしゅう	normal	5	哀愁	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいしょう	normal	5	愛唱,愛称	名,名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいじ	normal	3	愛児	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいじゃく	normal	5	愛着	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいじょう	normal	5	愛情	名	2	6	中央,児言研,国語研,新阪本,田中,阪本	2	七種対照,国語研		auto-selected
あいじん	terminal	4	愛人	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいす	normal	3	ice	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいすくりーむ	normal	7	ice-cream	名	1	4	国語研,新阪本,田中,阪本	4	七種対照,国語研,工藤,木幡		auto-selected
