reading	kind	characters	auto_rule_failures
えんどう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんにち	normal	4	school-source-count-3
えんねつ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんのう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんのした	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんばん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんびふく	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんぶん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんぼう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんぽう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんま	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんまく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんまちょう	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんめい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんゆうかい	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんよう	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
えんらい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんるい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えんろ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
えーす	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おあし	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おあしす	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おあずけ	normal	4	school-source-count-3
おいうち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいかぜ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいこみ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいごえ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいさき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいしゃさん	terminal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいたち	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おいたて	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいだし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいて	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいてきぼり	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいはぎ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいばね	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいぼれ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいる	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おいわけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうい	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうか	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうかん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうぎ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうこ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうこう	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おうこく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうごん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうごんじだい	normal	7	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうさま	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おうし	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうしつ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうしゅう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうしょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうしん	terminal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おうじ	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
おうじょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうせい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうせつ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おうせん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうぞく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうたい	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おうだく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうちゃく	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうちょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうてん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうとう	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おうとつ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうねん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうひ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうぶん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうほう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうぼ	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
おうぼう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうらい	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おうりょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうれんず	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おうろ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おえつ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおあな	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおい	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおいそぎ	normal	5	school-source-count-3
おおいり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおうつし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおおとこ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおかぜ	normal	4	school-source-count-3
おおかわ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおがた	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おおきさ	normal	4	school-source-count-3
おおきみ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおくら	normal	4	school-source-count-3
おおぐち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおさわぎ	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
おおしお	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおじかけ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおすじ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおせ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおせつけ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおぜき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおぞら	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおだてもの	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおつごもり	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおづかみ	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
おおづめ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおて	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおで	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおなみ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおはし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおばこ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおばん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおぶり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおぶろしき	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおまた	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおむかし	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
おおむぎ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おおむこう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおむね	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おおめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおめだま	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおもと	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおもの	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおや	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
おおやけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおやしま	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おおゆき	normal	4	school-source-count-3
おおよそ	normal	4	school-source-count-3
おおわらい	normal	5	school-source-count-3
おかあさま	normal	5	school-source-count-3
おかげさま	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おかし	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おかしらつき	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おかっぱ	normal	4	school-source-count-3
おかぼ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おかみさん	terminal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おかめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おかん	terminal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おがくず	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきあい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきあがりこぼし	normal	8	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきごたつ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきざり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきしふる	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきて	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
おきどけい	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきな	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
おきなわ	normal	4	school-source-count-3
おきにいり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきぬけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきふし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おきもの	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おぎない	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくがい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくがた	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくぎ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくそく	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おくそこ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくたーぶ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくち	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくづけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくて	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくない	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくに	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくのて	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくば	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくび	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくやま	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくゆき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくり	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おくればせ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おこえがかり	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おこし	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おこたり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おこない	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おこわ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おごり	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おさえ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おさがり	normal	4	school-source-count-3
おさげ	normal	3	school-source-count-3
おさなご	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おさななじみ	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おさまり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おさめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おさらい	normal	4	school-source-count-3
おざなり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おし	normal	2	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしあい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしうり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしこみ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしだし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしどり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしば	normal	3	school-source-count-3
おしべ	normal	3	school-source-count-3
おしめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしもんどう	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしゃべり	normal	5	school-source-count-3
おしゃれ	normal	4	school-source-count-3
おしょう	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おしょうがつ	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おしょく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おじけ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おすい	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おせっかい	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おせん	terminal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おそまき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おたがい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おたふく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おだて	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おだぶつ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おち	normal	2	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おちこち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おちど	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おちぼ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おちめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おっくう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おっちょこちょい	normal	8	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おって	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おっとせい	normal	5	school-source-count-3
おっぱい	normal	4	school-source-count-3
おつ	normal	2	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おつきさま	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おつむ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おつゆ	normal	3	school-source-count-3
おてつだいさん	terminal	7	school-source-count-3
おてて	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
おてもり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おてん	terminal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おてんき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おてんとさま	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おてんば	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おでき	normal	3	school-source-count-3
おでこ	normal	3	school-source-count-3
おでん	terminal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとうさま	normal	5	school-source-count-3
おとがい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとぎ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとぎばなし	normal	6	japanese-education-source-count-3-for-2-characters-otherwise-2
おとこぎ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとこなき	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとこのこ	normal	5	school-source-count-3
おとこぶり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとこまさり	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとさた	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとし	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとしあな	normal	5	school-source-count-3
おとしばなし	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとしもの	normal	5	school-source-count-3
おとずれ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとつい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとひめ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとも	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとり	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おとろえ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おどかし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おどけ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おどし	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おどりこ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おないどし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おなご	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おにぎり	normal	4	school-source-count-3
おね	normal	2	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おの	normal	2	japanese-education-source-count-3-for-2-characters-otherwise-2
おのこ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おののき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おのれ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おはぎ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おはこ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おはち	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おはなしかい	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おはなばたけ	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おばけ	normal	3	school-source-count-3
おばな	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おひさま	normal	4	school-source-count-3
おひとよし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おひめさま	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おひや	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おひらき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おひる	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おびふう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おふぃす	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おふくろ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おぶつ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おぶらーと	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おべっか	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おぺら	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おぼえがき	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おぼしめし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おぼろづきよ	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おまいり	normal	4	school-source-count-3
おまつりさわぎ	normal	7	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おまもり	normal	4	school-source-count-3
おまわり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おみくじ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おみこし	normal	4	school-source-count-3
おみなえし	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
おみやげ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おむつ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おむれつ	normal	4	school-source-count-3
おめい	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おめかし	normal	4	school-source-count-3
おめがね	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おめし	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おめしもの	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おめでた	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おめみえ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもいちがい	normal	6	japanese-education-source-count-3-for-2-characters-otherwise-2
おもいつき	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
おもいどおり	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもいのほか	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもかげ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おもさ	normal	3	school-source-count-3
おもし	normal	3	school-source-count-3
おもてがわ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもてぐち	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもてざた	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもてにほん	terminal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもてむき	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもと	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもに	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもみ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもむき	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おももち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもや	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもゆ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おもわく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやうし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやうま	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやかた	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやがわり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやごころ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやしお	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやじ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやすずめ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやだま	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやつばめ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやどり	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
おやばか	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやぶん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやま	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやもと	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
おやゆずり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
およぎ	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
およめさん	terminal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
