reading	kind	head	tail	characters
なべ	normal	な	べ	2
なま	normal	な	ま	2
なまいき	normal	な	き	4
なまえ	normal	な	え	3
なまり	normal	な	り	3
なみ	normal	な	み	2
なみき	normal	な	き	3
なみだ	normal	な	だ	3
なわ	normal	な	わ	2
なわとび	normal	な	び	4
なんきょく	normal	な	く	5
なんど	normal	な	ど	3
なんべい	normal	な	い	4
におい	normal	に	い	3
にがて	normal	に	て	3
にく	normal	に	く	2
にし	normal	に	し	2
にじ	normal	に	じ	2
にせ	normal	に	せ	2
にち	normal	に	ち	2
にちじょう	normal	に	う	5
にちよう	normal	に	う	4
にっき	normal	に	き	3
にっこう	normal	に	う	4
にっしょく	normal	に	く	5
にづくり	normal	に	り	4
にもつ	normal	に	つ	3
にゅうがく	normal	に	く	5
にゅうじょう	normal	に	う	6
にゅうどうぐも	normal	に	も	7
にゅーす	normal	に	す	4
にわ	normal	に	わ	2
にわかあめ	normal	に	め	5
にわとり	normal	に	り	4
にんき	normal	に	き	3
にんぎょう	normal	に	う	5
にんじょう	normal	に	う	5
ぬし	normal	ぬ	し	2
ぬの	normal	ぬ	の	2
ぬま	normal	ぬ	ま	2
ぬりえ	normal	ぬ	え	3
ねあげ	normal	ね	げ	3
ねうち	normal	ね	ち	3
ねがい	normal	ね	い	3
ねぎ	normal	ね	ぎ	2
ねくたい	normal	ね	い	4
ねこ	normal	ね	こ	2
ねじ	normal	ね	じ	2
ねずみ	normal	ね	み	3
ねったい	normal	ね	い	4
ねっちゅう	normal	ね	う	5
ねつ	normal	ね	つ	2
ねどこ	normal	ね	こ	3
ねぼう	normal	ね	う	3
ねまき	normal	ね	き	3
ねらい	normal	ね	い	3
ねんがじょう	normal	ね	う	6
ねんど	normal	ね	ど	3
ねんりょう	normal	ね	う	5
ねんれい	normal	ね	い	4
のう	normal	の	う	2
のうか	normal	の	か	3
のうぎょう	normal	の	う	5
のうじょう	normal	の	う	5
のうち	normal	の	ち	3
のうりつ	normal	の	つ	4
のうりょく	normal	の	く	5
のこぎり	normal	の	り	4
のこり	normal	の	り	3
のぞみ	normal	の	み	3
のち	normal	の	ち	2
のっく	normal	の	く	3
のど	normal	の	ど	2
のはら	normal	の	ら	3
のぼり	normal	の	り	3
のみ	normal	の	み	2
のみもの	normal	の	の	4
のり	normal	の	り	2
のりかえ	normal	の	え	4
のりもの	normal	の	の	4
のーと	normal	の	と	3
はい	normal	は	い	2
はいいろ	normal	は	ろ	4
はいきんぐ	normal	は	ぐ	5
はいく	normal	は	く	3
はいけい	normal	は	い	4
はいし	normal	は	し	3
はいたつ	normal	は	つ	4
はいち	normal	は	ち	3
はいゆう	normal	は	う	4
はいれつ	normal	は	つ	4
はえ	normal	は	え	2
はおり	normal	は	り	3
はか	normal	は	か	2
はかい	normal	は	い	3
はかり	normal	は	り	3
はがき	normal	は	き	3
はきもの	normal	は	の	4
はくちょう	normal	は	う	5
はぐるま	normal	は	ま	4
はけ	normal	は	け	2
はこ	normal	は	こ	2
はごいた	normal	は	た	4
はさみ	normal	は	み	3
はし	normal	は	し	2
はしご	normal	は	ご	3
はしら	normal	は	ら	3
はじ	normal	は	じ	2
はじまり	normal	は	り	4
はじめ	normal	は	め	3
はず	normal	は	ず	2
はずみ	normal	は	み	3
はずれ	normal	は	れ	3
はた	normal	は	た	2
はたけ	normal	は	け	3
はたち	normal	は	ち	3
はたらき	normal	は	き	4
はだ	normal	は	だ	2
はだぎ	normal	は	ぎ	3
はだし	normal	は	し	3
はち	normal	は	ち	2
はちまき	normal	は	き	4
はっこう	normal	は	う	4
はっせい	normal	は	い	4
はったつ	normal	は	つ	4
はっぱ	normal	は	ぱ	3
はっぴょう	normal	は	う	5
はつ	normal	は	つ	2
はつか	normal	は	か	3
はつめい	normal	は	い	4
はで	normal	は	で	2
はと	normal	は	と	2
はとば	normal	は	ば	3
はな	normal	は	な	2
はなし	normal	は	し	3
はなしあい	normal	は	い	5
はなたば	normal	は	ば	4
はなび	normal	は	び	3
はなびら	normal	は	ら	4
はなみ	normal	は	み	3
はね	normal	は	ね	2
はねつき	normal	は	き	4
はは	normal	は	は	2
はば	normal	は	ば	2
はま	normal	は	ま	2
はまべ	normal	は	べ	3
はみがき	normal	は	き	4
はむ	normal	は	む	2
はやおき	normal	は	き	4
はやくち	normal	は	ち	4
はやし	normal	は	し	3
はら	normal	は	ら	2
はらい	normal	は	い	3
はらっぱ	normal	は	ぱ	4
はり	normal	は	り	2
はりがね	normal	は	ね	4
はる	normal	は	る	2
はるかぜ	normal	は	ぜ	4
はれ	normal	は	れ	2
はんい	normal	は	い	3
はんかち	normal	は	ち	4
はんが	normal	は	が	3
はんこう	normal	は	う	4
はんざい	normal	は	い	4
はんしょく	normal	は	く	5
はんせい	normal	は	い	4
はんたい	normal	は	い	4
はんとう	normal	は	う	4
はんどばっぐ	normal	は	ぐ	6
はんどる	normal	は	る	4
はんのう	normal	は	う	4
はんばい	normal	は	い	4
はーもにか	normal	は	か	5
ばあい	normal	ば	い	3
ばい	normal	ば	い	2
ばくはつ	normal	ば	つ	4
ばけつ	normal	ば	つ	3
ばす	normal	ば	す	2
ばっじ	normal	ば	じ	3
ばっと	normal	ば	と	3
ばつ	normal	ば	つ	2
ばなな	normal	ば	な	3
ばね	normal	ば	ね	2
ばら	normal	ば	ら	2
ばんぐみ	normal	ば	み	4
ばんごう	normal	ば	う	4
ばんざい	normal	ば	い	4
ばんそう	normal	ば	う	4
ばんち	normal	ば	ち	3
ぱいぷ	normal	ぱ	ぷ	3
ぱんつ	normal	ぱ	つ	3
ぱーせんと	normal	ぱ	と	5
ひかく	normal	ひ	く	3
ひかげ	normal	ひ	げ	3
ひかり	normal	ひ	り	3
ひがい	normal	ひ	い	3
ひがし	normal	ひ	し	3
ひきだし	normal	ひ	し	4
ひきょう	normal	ひ	う	4
ひきわけ	normal	ひ	け	4
ひぐれ	normal	ひ	れ	3
ひげ	normal	ひ	げ	2
ひこう	normal	ひ	う	3
ひこうき	normal	ひ	き	4
ひごろ	normal	ひ	ろ	3
ひさしぶり	normal	ひ	り	5
ひざ	normal	ひ	ざ	2
ひじ	normal	ひ	じ	2
ひじょうぐち	normal	ひ	ち	6
ひたい	normal	ひ	い	3
ひだり	normal	ひ	り	3
ひだりがわ	normal	ひ	わ	5
ひだりて	normal	ひ	て	4
ひっこし	normal	ひ	し	4
ひっし	normal	ひ	し	3
ひつじ	normal	ひ	じ	3
ひつよう	normal	ひ	う	4
ひづけ	normal	ひ	け	3
ひてい	normal	ひ	い	3
ひと	normal	ひ	と	2
ひといき	normal	ひ	き	4
ひとがら	normal	ひ	ら	4
ひとこと	normal	ひ	と	4
ひとごみ	normal	ひ	み	4
ひとさしゆび	normal	ひ	び	6
ひとつ	normal	ひ	つ	3
ひととおり	normal	ひ	り	5
ひとびと	normal	ひ	と	4
ひとめ	normal	ひ	め	3
ひとやすみ	normal	ひ	み	5
ひとり	normal	ひ	り	3
ひな	normal	ひ	な	2
ひなた	normal	ひ	た	3
ひにく	normal	ひ	く	3
ひばち	normal	ひ	ち	3
ひばな	normal	ひ	な	3
ひばり	normal	ひ	り	3
ひひょう	normal	ひ	う	4
ひび	normal	ひ	び	2
ひびき	normal	ひ	き	3
ひふ	normal	ひ	ふ	2
ひま	normal	ひ	ま	2
ひまわり	normal	ひ	り	4
ひみつ	normal	ひ	つ	3
ひめい	normal	ひ	い	3
ひも	normal	ひ	も	2
ひゃく	normal	ひ	く	3
ひゃくしょう	normal	ひ	う	6
ひやけ	normal	ひ	け	3
ひょう	normal	ひ	う	3
ひょうご	normal	ひ	ご	4
ひょうし	normal	ひ	し	4
ひょうしょう	normal	ひ	う	6
ひょうじょう	normal	ひ	う	6
ひよう	normal	ひ	う	3
ひよこ	normal	ひ	こ	3
ひらがな	normal	ひ	な	4
ひりょう	normal	ひ	う	4
ひる	normal	ひ	る	2
ひるね	normal	ひ	ね	3
ひるま	normal	ひ	ま	3
ひろう	normal	ひ	う	3
ひろば	normal	ひ	ば	3
ひんしつ	normal	ひ	つ	4
びじゅつ	normal	び	つ	4
びすけっと	normal	び	と	5
びっくり	normal	び	り	4
びょう	normal	び	う	3
びょうき	normal	び	き	4
びょうどう	normal	び	う	5
びる	normal	び	る	2
びるでぃんぐ	normal	び	ぐ	6
びんぼう	normal	び	う	4
びーる	normal	び	る	3
ぴあの	normal	ぴ	の	3
ぴくにっく	normal	ぴ	く	5
ぴすとる	normal	ぴ	る	4
ぴんく	normal	ぴ	く	3
ふぃるむ	normal	ふ	む	4
ふい	normal	ふ	い	2
ふう	normal	ふ	う	2
ふうけい	normal	ふ	い	4
ふうとう	normal	ふ	う	4
ふうふ	normal	ふ	ふ	3
ふえ	normal	ふ	え	2
ふぉーく	normal	ふ	く	4
ふきそく	normal	ふ	く	4
ふきゅう	normal	ふ	う	4
ふく	normal	ふ	く	2
ふくざつ	normal	ふ	つ	4
ふくし	normal	ふ	し	3
ふくしゅう	normal	ふ	う	5
ふくそう	normal	ふ	う	4
ふくろ	normal	ふ	ろ	3
ふくろう	normal	ふ	う	4
ふぐ	normal	ふ	ぐ	2
ふけつ	normal	ふ	つ	3
ふこう	normal	ふ	う	3
ふこうへい	normal	ふ	い	5
ふさ	normal	ふ	さ	2
ふし	normal	ふ	し	2
ふしぎ	normal	ふ	ぎ	3
ふしんせつ	normal	ふ	つ	5
ふじゆう	normal	ふ	う	4
ふすま	normal	ふ	ま	3
ふそく	normal	ふ	く	3
ふぞく	normal	ふ	く	3
ふた	normal	ふ	た	2
ふたつ	normal	ふ	つ	3
ふたり	normal	ふ	り	3
ふだ	normal	ふ	だ	2
ふち	normal	ふ	ち	2
ふちゅうい	normal	ふ	い	5
ふっかつ	normal	ふ	つ	4
ふっとう	normal	ふ	う	4
ふつう	normal	ふ	う	3
ふつか	normal	ふ	か	3
ふで	normal	ふ	で	2
ふところ	normal	ふ	ろ	4
ふね	normal	ふ	ね	2
ふぶき	normal	ふ	き	3
ふへい	normal	ふ	い	3
ふぼ	normal	ふ	ぼ	2
ふみきり	normal	ふ	り	4
ふもと	normal	ふ	と	3
ふゆ	normal	ふ	ゆ	2
ふゆかい	normal	ふ	い	4
ふゆごもり	normal	ふ	り	5
ふゆやすみ	normal	ふ	み	5
ふらんす	normal	ふ	す	4
ふり	normal	ふ	り	2
ふりがな	normal	ふ	な	4
ふりこ	normal	ふ	こ	3
ふりょう	normal	ふ	う	4
ふるさと	normal	ふ	と	4
ふろ	normal	ふ	ろ	2
ふろく	normal	ふ	く	3
ふろしき	normal	ふ	き	4
ふろば	normal	ふ	ば	3
ふんいき	normal	ふ	き	4
ふんか	normal	ふ	か	3
ふんすい	normal	ふ	い	4
ぶじ	normal	ぶ	じ	2
ぶた	normal	ぶ	た	2
ぶたい	normal	ぶ	い	3
ぶっか	normal	ぶ	か	3
ぶっきょう	normal	ぶ	う	5
ぶっしつ	normal	ぶ	つ	4
ぶったい	normal	ぶ	い	4
ぶどう	normal	ぶ	う	3
ぶらうす	normal	ぶ	す	4
ぶらし	normal	ぶ	し	3
ぶれーき	normal	ぶ	き	4
ぶんか	normal	ぶ	か	3
ぶんかい	normal	ぶ	い	4
ぶんがく	normal	ぶ	く	4
ぶんし	normal	ぶ	し	3
ぶんしょう	normal	ぶ	う	5
ぶんぷ	normal	ぶ	ぷ	3
ぶんぼうぐ	normal	ぶ	ぐ	5
ぶんぽう	normal	ぶ	う	4
ぶんめい	normal	ぶ	い	4
ぶんや	normal	ぶ	や	3
ぶんり	normal	ぶ	り	3
ぶんるい	normal	ぶ	い	4
ぷらすちっく	normal	ぷ	く	6
ぷらっとほーむ	normal	ぷ	む	7
ぷりんと	normal	ぷ	と	4
ぷれぜんと	normal	ぷ	と	5
ぷろぐらむ	normal	ぷ	む	5
ぷろぺら	normal	ぷ	ら	4
ぷーる	normal	ぷ	る	3
へい	normal	へ	い	2
へいき	normal	へ	き	3
へいこう	normal	へ	う	4
へいたい	normal	へ	い	4
へいほう	normal	へ	う	4
へいや	normal	へ	や	3
へいわ	normal	へ	わ	3
へた	normal	へ	た	2
へび	normal	へ	び	2
へや	normal	へ	や	2
へんか	normal	へ	か	3
へんこう	normal	へ	う	4
へんしゅう	normal	へ	う	5
へんじ	normal	へ	じ	3
べいこく	normal	べ	く	4
べっど	normal	べ	ど	3
べつ	normal	べ	つ	2
べる	normal	べ	る	2
べると	normal	べ	と	3
べんきょう	normal	べ	う	5
べんち	normal	べ	ち	3
べんとう	normal	べ	う	4
べんり	normal	べ	り	3
ぺんき	normal	ぺ	き	3
ぺんち	normal	ぺ	ち	3
ぺーじ	normal	ぺ	じ	3
ほう	normal	ほ	う	2
ほうかい	normal	ほ	い	4
ほうがく	normal	ほ	く	4
ほうき	normal	ほ	き	3
ほうこう	normal	ほ	う	4
ほうこく	normal	ほ	く	4
ほうさく	normal	ほ	く	4
ほうし	normal	ほ	し	3
ほうせき	normal	ほ	き	4
ほうそう	normal	ほ	う	4
ほうそく	normal	ほ	く	4
ほうたい	normal	ほ	い	4
ほうちょう	normal	ほ	う	5
ほうどう	normal	ほ	う	4
ほうび	normal	ほ	び	3
ほうほう	normal	ほ	う	4
ほうぼう	normal	ほ	う	4
ほうりつ	normal	ほ	つ	4
ほお	normal	ほ	お	2
ほおずり	normal	ほ	り	4
ほか	normal	ほ	か	2
ほくろ	normal	ほ	ろ	3
ほこり	normal	ほ	り	3
ほご	normal	ほ	ご	2
ほし	normal	ほ	し	2
ほしょう	normal	ほ	う	4
ほたる	normal	ほ	る	3
ほっきょく	normal	ほ	く	5
ほっぺた	normal	ほ	た	4
ほてる	normal	ほ	る	3
ほとけ	normal	ほ	け	3
ほとんど	normal	ほ	ど	4
ほど	normal	ほ	ど	2
ほどう	normal	ほ	う	3
ほね	normal	ほ	ね	2
ほねぐみ	normal	ほ	み	4
ほのお	normal	ほ	お	3
ほらあな	normal	ほ	な	4
ほり	normal	ほ	り	2
ほんき	normal	ほ	き	3
ほんだな	normal	ほ	な	4
ほんと	normal	ほ	と	3
ほんとう	normal	ほ	う	4
ほんばこ	normal	ほ	こ	4
ほんもの	normal	ほ	の	4
ほんや	normal	ほ	や	3
ほんやく	normal	ほ	く	4
ほーむ	normal	ほ	む	3
ぼう	normal	ぼ	う	2
ぼうえき	normal	ぼ	き	4
ぼうえんきょう	normal	ぼ	う	7
ぼうか	normal	ぼ	か	3
ぼうし	normal	ぼ	し	3
ぼうせき	normal	ぼ	き	4
ぼうちょう	normal	ぼ	う	5
ぼうや	normal	ぼ	や	3
ぼうりょく	normal	ぼ	く	5
ぼく	normal	ぼ	く	2
ぼくじょう	normal	ぼ	う	5
ぼくちく	normal	ぼ	く	4
ぼしゅう	normal	ぼ	う	4
ぼたんゆき	normal	ぼ	き	5
ぼーと	normal	ぼ	と	3
ぼーなす	normal	ぼ	す	4
ぼーる	normal	ぼ	る	3
ぽけっと	normal	ぽ	と	4
ぽすと	normal	ぽ	と	3
ぽんぷ	normal	ぽ	ぷ	3
まいあさ	normal	ま	さ	4
まいく	normal	ま	く	3
まいご	normal	ま	ご	3
まいしゅう	normal	ま	う	5
まいつき	normal	ま	き	4
まいにち	normal	ま	ち	4
まえ	normal	ま	え	2
まがりかど	normal	ま	ど	5
まきば	normal	ま	ば	3
まく	normal	ま	く	2
まくら	normal	ま	ら	3
まぐろ	normal	ま	ろ	3
まこと	normal	ま	と	3
まご	normal	ま	ご	2
まさつ	normal	ま	つ	3
ますく	normal	ま	く	3
また	normal	ま	た	2
まだら	normal	ま	ら	3
まち	normal	ま	ち	2
まちあいしつ	normal	ま	つ	6
まちがい	normal	ま	い	4
まっか	normal	ま	か	3
まっくら	normal	ま	ら	4
まっくろ	normal	ま	ろ	4
まっさお	normal	ま	お	4
まっさき	normal	ま	き	4
まっしろ	normal	ま	ろ	4
まっち	normal	ま	ち	3
まつ	normal	ま	つ	2
まつり	normal	ま	り	3
まと	normal	ま	と	2
まとめ	normal	ま	め	3
まど	normal	ま	ど	2
まどぐち	normal	ま	ち	4
まないた	normal	ま	た	4
まね	normal	ま	ね	2
まばたき	normal	ま	き	4
まぶた	normal	ま	た	3
まほう	normal	ま	う	3
まま	normal	ま	ま	2
ままごと	normal	ま	と	4
まみれ	normal	ま	れ	3
まめ	normal	ま	め	2
まゆ	normal	ま	ゆ	2
まり	normal	ま	り	2
まる	normal	ま	る	2
まるた	normal	ま	た	3
まわり	normal	ま	り	3
まわりみち	normal	ま	ち	5
まんいち	normal	ま	ち	4
まんが	normal	ま	が	3
まんげつ	normal	ま	つ	4
まんじゅう	normal	ま	う	5
まんぞく	normal	ま	く	4
まんと	normal	ま	と	3
まんなか	normal	ま	か	4
まんねんひつ	normal	ま	つ	6
まーく	normal	ま	く	3
みおくり	normal	み	り	4
みかけ	normal	み	け	3
みかた	normal	み	た	3
みかづき	normal	み	き	4
みき	normal	み	き	2
みぎ	normal	み	ぎ	2
みぎがわ	normal	み	わ	4
みぎて	normal	み	て	3
みこみ	normal	み	み	3
みさき	normal	み	き	3
みず	normal	み	ず	2
みずうみ	normal	み	み	4
みずたまり	normal	み	り	5
みずでっぽう	normal	み	う	6
みせ	normal	み	せ	2
みそ	normal	み	そ	2
みぞ	normal	み	ぞ	2
みぞれ	normal	み	れ	3
みち	normal	み	ち	2
みっか	normal	み	か	3
みっつ	normal	み	つ	3
みつばち	normal	み	ち	4
みどり	normal	み	り	3
みな	normal	み	な	2
みなと	normal	み	と	3
みなみ	normal	み	み	3
みなり	normal	み	り	3
みね	normal	み	ね	2
みはらし	normal	み	し	4
みはり	normal	み	り	3
みぶり	normal	み	り	3
みまい	normal	み	い	3
みみ	normal	み	み	2
みゃく	normal	み	く	3
みやげ	normal	み	げ	3
みやこ	normal	み	こ	3
みょう	normal	み	う	3
みょうじ	normal	み	じ	4
みらい	normal	み	い	3
みり	normal	み	り	2
みりめーとる	normal	み	る	6
みりょく	normal	み	く	4
みるく	normal	み	く	3
みんぞく	normal	み	く	4
みんよう	normal	み	う	4
むいか	normal	む	か	3
むかい	normal	む	い	3
むかえ	normal	む	え	3
むかし	normal	む	し	3
むがい	normal	む	い	3
むき	normal	む	き	2
むぎ	normal	む	ぎ	2
むこう	normal	む	う	3
むし	normal	む	し	2
むしば	normal	む	ば	3
むしめがね	normal	む	ね	5
むしろ	normal	む	ろ	3
むじゃき	normal	む	き	4
むすこ	normal	む	こ	3
むすび	normal	む	び	3
むすめ	normal	む	め	3
むだ	normal	む	だ	2
むだづかい	normal	む	い	5
むち	normal	む	ち	2
むちゅう	normal	む	う	4
むっつ	normal	む	つ	3
むら	normal	む	ら	2
むらさき	normal	む	き	4
むり	normal	む	り	2
むりょう	normal	む	う	4
むれ	normal	む	れ	2
めあて	normal	め	て	3
めい	normal	め	い	2
めいし	normal	め	し	3
めいじ	normal	め	じ	3
めいちゅう	normal	め	う	5
めいぶつ	normal	め	つ	4
めいめい	normal	め	い	4
めいよ	normal	め	よ	3
めいれい	normal	め	い	4
めいわく	normal	め	く	4
めうえ	normal	め	え	3
めかた	normal	め	た	3
めがね	normal	め	ね	3
めがみ	normal	め	み	3
めし	normal	め	し	2
めした	normal	め	た	3
めじるし	normal	め	し	4
めだか	normal	め	か	3
めだる	normal	め	る	3
めまい	normal	め	い	3
めもり	normal	め	り	3
めんかい	normal	め	い	4
めんせき	normal	め	き	4
めんぜい	normal	め	い	4
めんどう	normal	め	う	4
めーとる	normal	め	る	4
もうしわけ	normal	も	け	5
もうふ	normal	も	ふ	3
もくてき	normal	も	き	4
もくひょう	normal	も	う	5
もくよう	normal	も	う	4
もくろく	normal	も	く	4
もけい	normal	も	い	3
もじ	normal	も	じ	2
もち	normal	も	ち	2
もちつき	normal	も	き	4
もちぬし	normal	も	し	4
もちもの	normal	も	の	4
もと	normal	も	と	2
もの	normal	も	の	2
ものおき	normal	も	き	4
ものおと	normal	も	と	4
ものがたり	normal	も	り	5
ものごと	normal	も	と	4
ものさし	normal	も	し	4
ものずき	normal	も	き	4
もみじ	normal	も	じ	3
もも	normal	も	も	2
ももいろ	normal	も	ろ	4
もよう	normal	も	う	3
もよおし	normal	も	し	4
もり	normal	も	り	2
もんく	normal	も	く	3
もんだい	normal	も	い	4
もんどう	normal	も	う	4
やおや	normal	や	や	3
やきゅう	normal	や	う	4
やぎ	normal	や	ぎ	2
やく	normal	や	く	2
やくそく	normal	や	く	4
やくめ	normal	や	め	3
やくわり	normal	や	り	4
やぐら	normal	や	ら	3
やけど	normal	や	ど	3
やさい	normal	や	い	3
やしき	normal	や	き	3
やすみ	normal	や	み	3
やっかい	normal	や	い	4
やっきょく	normal	や	く	5
やっつ	normal	や	つ	3
やど	normal	や	ど	2
やどや	normal	や	や	3
やなぎ	normal	や	ぎ	3
やぬし	normal	や	し	3
やね	normal	や	ね	2
やま	normal	や	ま	2
やまのぼり	normal	や	り	5
やまびこ	normal	や	こ	4
やまみち	normal	や	ち	4
やりかた	normal	や	た	4
ゆいいつ	normal	ゆ	つ	4
ゆうえんち	normal	ゆ	ち	5
ゆうがい	normal	ゆ	い	4
ゆうがた	normal	ゆ	た	4
ゆうき	normal	ゆ	き	3
ゆうぎ	normal	ゆ	ぎ	3
ゆうぐれ	normal	ゆ	れ	4
ゆうしゅう	normal	ゆ	う	5
ゆうしょう	normal	ゆ	う	5
ゆうじょう	normal	ゆ	う	5
ゆうだち	normal	ゆ	ち	4
ゆうどく	normal	ゆ	く	4
ゆうひ	normal	ゆ	ひ	3
ゆうびんきょく	normal	ゆ	く	7
ゆうべ	normal	ゆ	べ	3
ゆうめい	normal	ゆ	い	4
ゆうやけ	normal	ゆ	け	4
ゆうりょう	normal	ゆ	う	5
ゆか	normal	ゆ	か	2
ゆかい	normal	ゆ	い	3
ゆかた	normal	ゆ	た	3
ゆき	normal	ゆ	き	2
ゆきだるま	normal	ゆ	ま	5
ゆくえ	normal	ゆ	え	3
ゆげ	normal	ゆ	げ	2
ゆしゅつ	normal	ゆ	つ	4
ゆそう	normal	ゆ	う	3
ゆにゅう	normal	ゆ	う	4
ゆのみ	normal	ゆ	み	3
ゆび	normal	ゆ	び	2
ゆびわ	normal	ゆ	わ	3
ゆみ	normal	ゆ	み	2
ゆみや	normal	ゆ	や	3
ゆめ	normal	ゆ	め	2
ゆりかご	normal	ゆ	ご	4
ゆーもあ	normal	ゆ	あ	4
よあけ	normal	よ	け	3
よう	normal	よ	う	2
ようい	normal	よ	い	3
ようか	normal	よ	か	3
ようき	normal	よ	き	3
ようきゅう	normal	よ	う	5
ようぐ	normal	よ	ぐ	3
ようご	normal	よ	ご	3
ようさい	normal	よ	い	4
ようしょく	normal	よ	く	5
ようじ	normal	よ	じ	3
ようす	normal	よ	す	3
ようそ	normal	よ	そ	3
ようち	normal	よ	ち	3
ようと	normal	よ	と	3
ようふく	normal	よ	く	4
ようりょう	normal	よ	う	5
よく	normal	よ	く	2
よくばり	normal	よ	り	4
よこ	normal	よ	こ	2
よこづな	normal	よ	な	4
よこどり	normal	よ	り	4
よしゅう	normal	よ	う	4
よそ	normal	よ	そ	2
よそう	normal	よ	う	3
よっか	normal	よ	か	3
よっつ	normal	よ	つ	3
よっと	normal	よ	と	3
よつかど	normal	よ	ど	4
よてい	normal	よ	い	3
よなか	normal	よ	か	3
よのなか	normal	よ	か	4
よふかし	normal	よ	し	4
よほう	normal	よ	う	3
よぼう	normal	よ	う	3
よみかた	normal	よ	た	4
よめ	normal	よ	め	2
よやく	normal	よ	く	3
よゆう	normal	よ	う	3
よる	normal	よ	る	2
よろこび	normal	よ	び	4
らいげつ	normal	ら	つ	4
らいしゅう	normal	ら	う	5
らく	normal	ら	く	2
らくご	normal	ら	ご	3
らくだ	normal	ら	だ	3
らくだい	normal	ら	い	4
らけっと	normal	ら	と	4
らじお	normal	ら	お	3
らっぱ	normal	ら	ぱ	3
らんどせる	normal	ら	る	5
らんぷ	normal	ら	ぷ	3
らんぼう	normal	ら	う	4
りえき	normal	り	き	3
りか	normal	り	か	2
りかい	normal	り	い	3
りく	normal	り	く	2
りくつ	normal	り	つ	3
りこう	normal	り	う	3
りし	normal	り	し	2
りずむ	normal	り	む	3
りせい	normal	り	い	3
りそう	normal	り	う	3
りそく	normal	り	く	3
りったい	normal	り	い	4
りっとる	normal	り	る	4
りつ	normal	り	つ	2
りゅうがく	normal	り	く	5
りゅうこう	normal	り	う	5
りゅっくさっく	normal	り	く	7
りょう	normal	り	う	3
りょうかい	normal	り	い	5
りょうがえ	normal	り	え	5
りょうがわ	normal	り	わ	5
りょうし	normal	り	し	4
りょうて	normal	り	て	4
りょうほう	normal	り	う	5
りょうり	normal	り	り	4
りょく	normal	り	く	3
りょこう	normal	り	う	4
りょひ	normal	り	ひ	3
りよう	normal	り	う	3
りんご	normal	り	ご	3
りんじ	normal	り	じ	3
るす	normal	る	す	2
るーる	normal	る	る	3
れい	normal	れ	い	2
れいがい	normal	れ	い	4
れいきゃく	normal	れ	く	5
れいぎ	normal	れ	ぎ	3
れいせい	normal	れ	い	4
れいぞうこ	normal	れ	こ	5
れいぼう	normal	れ	う	4
れきし	normal	れ	し	3
れこーど	normal	れ	ど	4
れつ	normal	れ	つ	2
れぽーと	normal	れ	と	4
れんあい	normal	れ	い	4
れんが	normal	れ	が	3
れんごう	normal	れ	う	4
れんしゅう	normal	れ	う	5
れんず	normal	れ	ず	3
れんぞく	normal	れ	く	4
れんらく	normal	れ	く	4
れーる	normal	れ	る	3
れーんこーと	normal	れ	と	6
ろうか	normal	ろ	か	3
ろうそく	normal	ろ	く	4
ろうどう	normal	ろ	う	4
ろうりょく	normal	ろ	く	5
ろく	normal	ろ	く	2
ろけっと	normal	ろ	と	4
ろんり	normal	ろ	り	3
ろーまじ	normal	ろ	じ	4
わいしゃつ	normal	わ	つ	5
わかめ	normal	わ	め	3
わかもの	normal	わ	の	4
わかれ	normal	わ	れ	3
わがまま	normal	わ	ま	4
わき	normal	わ	き	2
わく	normal	わ	く	2
わけ	normal	わ	け	2
わすれもの	normal	わ	の	5
わた	normal	わ	た	2
わたりどり	normal	わ	り	5
わだい	normal	わ	い	3
わな	normal	わ	な	2
わふく	normal	わ	く	3
わら	normal	わ	ら	2
わらい	normal	わ	い	3
わり	normal	わ	り	2
わりあい	normal	わ	い	4
わりあて	normal	わ	て	4
わりびき	normal	わ	き	4
わるくち	normal	わ	ち	4
わんぴーす	normal	わ	す	5
あいろん	terminal	あ	ん	4
あかちゃん	terminal	あ	ん	5
あさごはん	terminal	あ	ん	5
あん	terminal	あ	ん	2
あんしん	terminal	あ	ん	4
あんぜん	terminal	あ	ん	4
いいん	terminal	い	ん	3
いけん	terminal	い	ん	3
いしだん	terminal	い	ん	4
いぜん	terminal	い	ん	3
いちばん	terminal	い	ん	4
いちぶぶん	terminal	い	ん	5
いちめん	terminal	い	ん	4
いっしん	terminal	い	ん	4
いっぱん	terminal	い	ん	4
いっぺん	terminal	い	ん	4
いはん	terminal	い	ん	3
いん	terminal	い	ん	2
うどん	terminal	う	ん	3
うん	terminal	う	ん	2
うんちん	terminal	う	ん	4
うんてん	terminal	う	ん	4
うんぱん	terminal	う	ん	4
えいがかん	terminal	え	ん	5
えぷろん	terminal	え	ん	4
えほん	terminal	え	ん	3
えん	terminal	え	ん	2
えんじん	terminal	え	ん	4
おうえん	terminal	お	ん	4
おうだん	terminal	お	ん	4
おかあさん	terminal	お	ん	5
おくさん	terminal	お	ん	4
おじいさん	terminal	お	ん	5
おじさん	terminal	お	ん	4
おじょうさん	terminal	お	ん	6
おとうさん	terminal	お	ん	5
おばあさん	terminal	お	ん	5
おばさん	terminal	お	ん	4
おまわりさん	terminal	お	ん	6
おるがん	terminal	お	ん	4
おん	terminal	お	ん	2
おんせん	terminal	お	ん	4
かいがん	terminal	か	ん	4
